election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
4,South Carolina,6,8,4.4,1.83,47,36,48.83,36,9,0,0,0,0
4,South Dakota,4,4,4.0,3.9,49,35,49,38.9,3,0,0,0,0
4,Tennessee,6,6,4.4,4.07,44,34,44,38.07,11,0,0,0,0
4,Texas,8,4,3.6,1.56,49,35,50.56,35,38,0,0,0,0
4,Utah,5,2,2.7,1.43,40,30,40,31.43,6,0,0,0,0
4,Vermont,2,10,3.0,1.64,26,52,26,53.64,0,3,0,0,0
4,Virginia,5,8,3.6,0.38,42,48,42.38,48,0,13,0,0,0
4,Washington,3,1,4.9,4.73,39,55,39,59.73,0,12,0,0,0
4,West Virginia,5,7,5.0,3.93,60,28,63.93,28,5,0,0,0,0
4,Wisconsin,2,6,1.9,0.91,41,49,41.91,49,0,10,0,0,0
4,Wyoming,4,3,3.6,2.7,58,20,60.7,20,3,0,0,0,0
4,totals,,,,,,,0,1,247,291,,,0
5,Alabama,7,7,2.0,1.42,48,32,48,33.42,9,0,0,0,0
5,Alaska,1,1,4.9,2.49,43,47,43,49.49,0,3,0,0,0
5,Arizona,6,2,4.9,2.0,47,45,47,47.0,0,11,0,0,0
5,Arkansas,6,5,4.1,2.72,59,36,59,38.72,6,0,0,0,0
5,California,5,1,4.9,0.85,35,58,35,58.85,0,55,0,0,0
5,Colorado,5,3,3.7,1.32,43,48,44.32,48,0,9,0,0,0
5,Connecticut,4,10,3.0,0.4,35,50,35.4,50,0,7,0,0,0
5,Delaware,5,10,4.1,1.37,30,51,30,52.37,0,3,0,0,0
5,District of Columbia,6,9,4.9,0.55,4,91,4.55,91,0,3,0,0,0
5,Florida,8,9,3.3,0.88,50,46,50,46.88,29,0,0,0,0
5,Georgia,7,8,2.8,0.29,52,45,52.29,45,16,0,0,0,0
5,Hawaii,1,2,5.0,1.09,30,62,31.09,62,0,4,0,0,0
5,Idaho,3,2,4.0,3.11,48,29,48,32.11,4,0,0,0,0
5,Illinois,3,6,4.3,0.14,41,53,41.14,53,0,20,0,0,0
5,Indiana,4,6,4.0,0.04,48,37,48,37.04,11,0,0,0,0
5,Iowa,4,5,3.5,2.16,46,39,46,41.16,6,0,0,0,0
5,Kansas,6,4,5.5,3.25,58,34,61.25,34,6,0,0,0,0
5,Kentucky,5,6,4.0,3.79,54,37,54,40.79,8,0,0,0,0
5,Louisiana,7,5,4.4,2.67,50,35,52.67,35,8,0,0,0,0
5,Maine,1,11,3.5,1.54,42,46,43.54,46,0,4,0,0,0
5,Maryland,5,9,4.0,2.82,27,63,29.82,63,0,10,0,0,0
5,Massachusetts,3,10,5.0,4.0,26,56,30.0,56,0,11,0,0,0
5,Michigan,3,7,2.8,2.0,49,47,49,49.0,0,16,0,0,0
5,Minnesota,3,5,3.9,0.71,39,49,39,49.71,0,10,0,0,0
5,Missouri,7,6,3.5,2.07,47,41,49.07,41,10,0,0,0,0
5,Mississippi,5,5,2.9,2.88,54,39,54,41.88,6,0,0,0,0
5,Montana,3,3,3.2,0.81,46,36,46.81,36,3,0,0,0,0
5,Nebraska,5,4,3.6,0.08,56,29,56.08,29,5,0,0,0,0
5,Nevada,4,2,4.9,2.41,46,46,46,48.41,0,6,1,0,0
5,New Hampshire,2,11,3.7,3.08,38,49,41.08,49,0,4,0,0,0
5,New Jersey,4,9,3.8,3.6,40,51,43.6,51,0,14,0,0,0
5,New Mexico,6,3,1.8,0.44,44,46,44.44,46,0,5,0,0,0
5,New York,3,9,4.5,3.94,34,51,37.94,51,0,29,0,0,0
5,North Carolina,6,7,3.5,0.69,44,44,44.69,44,15,0,1,0,0
5,North Dakota,3,4,4.9,8.57,43,32,51.57,32,3,0,0,1,0
5,Ohio,4,7,3.2,1.94,46,39,46,40.94,18,0,0,0,0
5,Oklahoma,7,4,4.3,3.68,60,30,63.68,30,7,0,0,0,0
5,Oregon,4,1,4.4,3.77,34,41,34,44.77,0,7,0,0,0
5,Pennsylvania,4,8,2.8,2.21,40,46,40,48.21,0,20,0,0,0
5,Rhode Island,4,11,3.4,2.85,32,52,32,54.85,0,4,0,0,0
5,South Carolina,6,8,4.4,0.02,47,36,47,36.02,9,0,0,0,0
5,South Dakota,4,4,4.0,0.54,49,35,49.54,35,3,0,0,0,0
5,Tennessee,6,6,4.4,0.51,44,34,44,34.51,11,0,0,0,0
5,Texas,8,4,3.6,0.93,49,35,49,35.93,38,0,0,0,0
5,Utah,5,2,2.7,2.03,40,30,42.03,30,6,0,0,0,0
5,Vermont,2,10,3.0,1.6,26,52,26,53.6,0,3,0,0,0
5,Virginia,5,8,3.6,0.57,42,48,42.57,48,0,13,0,0,0
5,Washington,3,1,4.9,2.28,39,55,41.28,55,0,12,0,0,0
5,West Virginia,5,7,5.0,3.38,60,28,63.38,28,5,0,0,0,0
5,Wisconsin,2,6,1.9,0.81,41,49,41.81,49,0,10,0,0,0
5,Wyoming,4,3,3.6,1.88,58,20,59.88,20,3,0,0,0,0
5,totals,,,,,,,0,1,245,293,,,0
6,Alabama,7,7,2.0,0.62,48,32,48,32.62,9,0,0,0,0
6,Alaska,1,1,4.9,1.86,43,47,44.86,47,0,3,0,0,0
6,Arizona,6,2,4.9,5.45,47,45,47,50.45,0,11,1,1,1
6,Arkansas,6,5,4.1,0.96,59,36,59.96,36,6,0,0,0,0
6,California,5,1,4.9,1.98,35,58,35,59.98,0,55,0,0,0
6,Colorado,5,3,3.7,0.61,43,48,43,48.61,0,9,0,0,0
6,Connecticut,4,10,3.0,2.39,35,50,37.39,50,0,7,0,0,0
6,Delaware,5,10,4.1,2.26,30,51,30,53.26,0,3,0,0,0
6,District of Columbia,6,9,4.9,0.41,4,91,4.41,91,0,3,0,0,0
